Type,Latency
4,4.6191e+05
4,4.6256e+05
4,4.6321e+05
4,4.6387e+05
4,4.6457e+05
4,4.6531e+05
4,4.6611e+05
5,4.6697e+05
5,4.6789e+05
5,4.6877e+05
5,4.6959e+05
5,4.7034e+05
5,4.7104e+05
5,4.7171e+05
5,4.7235e+05
4,4.7296e+05
4,4.7356e+05
4,4.7417e+05
4,4.748e+05
4,4.7547e+05
4,4.7622e+05
5,4.771e+05
5,4.78e+05
5,4.7892e+05
5,4.7983e+05
5,4.8069e+05
5,4.8148e+05
4,4.8218e+05
4,4.8283e+05
4,4.8345e+05
4,4.8406e+05
4,4.8468e+05
4,4.8533e+05
4,4.8602e+05
4,4.8676e+05
5,4.876e+05
5,4.8851e+05
5,4.8944e+05
5,4.904e+05
5,4.913e+05
5,4.921e+05
5,4.9281e+05
4,4.9346e+05
4,4.9409e+05
4,4.9471e+05
4,4.9534e+05
4,4.9601e+05
4,4.968e+05
5,4.9775e+05
5,4.9873e+05
5,4.9969e+05
5,5.0063e+05
5,5.0158e+05
5,5.0239e+05
4,5.0309e+05
4,5.0374e+05
4,5.0438e+05
4,5.0502e+05
4,5.0571e+05
4,5.0647e+05
4,5.0728e+05
5,5.0822e+05
5,5.0919e+05
5,5.1017e+05
5,5.1116e+05
5,5.1203e+05
5,5.1282e+05
5,5.135e+05
4,5.1414e+05
4,5.1477e+05
4,5.1539e+05
4,5.1605e+05
4,5.1674e+05
4,5.1751e+05
5,5.1847e+05
5,5.1946e+05
5,5.2041e+05
5,5.2127e+05
5,5.2207e+05
5,5.2284e+05
5,5.2356e+05
5,5.2422e+05
4,5.2484e+05
4,5.2545e+05
5,5.2607e+05
5,5.2671e+05
5,5.2737e+05
5,5.2809e+05
5,5.2888e+05
5,5.2972e+05
5,5.3064e+05
5,5.3156e+05
5,5.325e+05
5,5.3338e+05
5,5.3409e+05
4,5.3474e+05
4,5.3535e+05
4,5.3597e+05
5,5.3663e+05
5,5.3745e+05
5,5.3837e+05
5,5.3932e+05
5,5.4023e+05
5,5.4117e+05
5,5.4208e+05
5,5.4294e+05
5,5.4370e+05
4,5.444e+05
4,5.4505e+05
4,5.4568e+05
4,5.4632e+05
4,5.4698e+05
4,5.4769e+05
4,5.485e+05
5,5.4938e+05
5,5.5031e+05
5,5.5122e+05
5,5.5213e+05
5,5.5294e+05
5,5.5368e+05
4,5.5437e+05
4,5.5502e+05
4,5.5563e+05
4,5.5624e+05
4,5.5686e+05
4,5.5752e+05
4,5.5822e+05
4,5.59e+05
5,5.5991e+05
5,5.6086e+05
5,5.6184e+05
5,5.628e+05
5,5.6367e+05
5,5.6441e+05
4,5.6508e+05
4,5.6571e+05
4,5.6632e+05
4,5.6695e+05
4,5.6761e+05
4,5.6833e+05
5,5.6914e+05
